"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"30101
Winter
2025",ELA030,E,,"English for Liberal Arts Program (Stream 3): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 3)：読解と論文作法",Face to Face,STAFF,-9
"30102
Winter
2025",ELA031,E,,"English for Liberal Arts Program (Stream 3): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法",Face to Face,STAFF,-6
"30103
Winter
2025",ELA032,E,,"English for Liberal Arts Program(Stream 3): Academic Skills
リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル",Face to Face,STAFF,-4
"30104
Winter
2025",ELA040,E,,"English for Liberal Arts Program(Stream 4): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 4)：読解と論文作法",Face to Face,STAFF,-9
"30105
Winter
2025",ELA041,E,,"English for Liberal Arts Program(Stream 4): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法",Face to Face,STAFF,-9
"30106
Winter
2025",ELA042,E,,"English for Liberal Arts Program(Stream 4): Academic Skills
リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル",Face to Face,STAFF,-4
"30107
Winter
2025",ELA060,E,A,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成
3/M,5/TU,3/W,3/F",Face to Face,STAFF,3
"30108
Winter
2025",ELA060,E,B,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成",Face to Face,STAFF,3
"30201
Winter
2025
[change]
2025/11/28",JLP012,J,,"J2: Japanese
日本語J2
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-101,H-124",Face to Face,"MIURA, Ayano/MIYAMOTO, Mayu",5
"30202
Winter
2025
[change]
2025/11/28",JLP013,J,,"J3: Japanese
日本語J3
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-107,H-108",Face to Face,"KUBO, Kazumi/KITAGAWA, Yui/MASUDA, Rika",5
"30203
Winter
2025
[change]
2025/11/28",JLP014,J,,"J4: Japanese
日本語J4
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-259,H-260",Face to Face,"SAKATA, Reiko/KANAYAMA, Yasuko/KISHIDA, Rie/SUZUKI, Mieko",5
"30204
Winter
2025
[change]
2025/11/28",JLP015,J,,"J5: Japanese
日本語J5
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-354,H-355",Face to Face,"NISHINO, Ai/TAKEDA, Tomoko/TERAI, Hiromi/YAMADA, Kyoko",5
"30205
Winter
2025
[change]
2025/11/28",JLP016,J,,"J6: Japanese
日本語J6
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-324,H-373,H-375",Face to Face,"SAKURAGI, Tomomi/OSAKI-WATANABE, Kumiko/UGAMOCHI, Ayako",5
"30206
Winter
2025
[change]
2025/11/28",JLP028,J,,"J7-A: Japanese
日本語J7-A
1/M,2/M,1/W,2/W
I-209,I-231,I-232",Face to Face,"NISHINO, Ai/ASHIKI, Ayako/INOUE, Shoko",3
"30207
Winter
2025
[change]
2025/11/28",JLP029,J,,"J7-B: Japanese
日本語J7-B
1/TU,2/TU
I-209,I-231,I-232",Face to Face,"OZAWA, Ikumi/KUWANO, Sachiko/MASUDA, Rika",2
"30208
Winter
2025",JLP034,J,,"Advanced Japanese: Listening and Discussion
上級日本語：聴解とディスカッション
4/M,5/M
H-274",Face to Face,"KUBO, Kazumi",1
"30209
Winter
2025",JLP035,J,,"Advanced Japanese: Reading and Discussion
上級日本語：読解とディスカッション
4/M,5/M
H-307",Face to Face,"INADA, Naoko",1
"30210
Winter
2025",JLP071,J,,"Special Japanese Kanji 1
日本語特別教育 漢字1
4/M
I-209",Face to Face,"MIURA, Ayano",1
"30211
Winter
2025",JLP072,J,,"Special Japanese Kanji 2
日本語特別教育 漢字2
4/M
I-210",Face to Face,"MIYAMOTO, Mayu",1
"30212
Winter
2025
[change]
2025/11/28",JLP073,J,,"Special Japanese Kanji 3
日本語特別教育 漢字3
4/M
I-231,I-232",Face to Face,"SAKATA, Reiko/NISHINO, Ai",1
"30213
Winter
2025
[change]
2025/11/28",JLP081,J,,"Special Japanese 1
日本語特別教育 1
1/W,2/W,3/W,1/F,2/F,3/F
H-356,H-357",Face to Face,"KANAYAMA, Yasuko/OSAKI-WATANABE, Kumiko",4
"30214
Winter
2025",JLP082,J,,"Special Japanese 2
日本語特別教育 2
1/W,2/W,3/W,1/F,2/F,3/F
I-210",Face to Face,"OZAWA, Ikumi/MIYAMOTO, Mayu/ITO, Mariko",3
"30215
Winter
2025",JLP083,J,,"Special Japanese 3
日本語特別教育 3
1/W,2/W,3/W,1/F,2/F,3/F
H-103",Face to Face,"TAKEDA, Tomoko/KOMORI, Yuri/KUWANO, Sachiko",3
"30216
Winter
2025",JLP086,J,,"Vocabulary and Kanji for Intermediate Learners of Japanese 1
中級日本語学習者のための語彙・漢字1
4/M
H-373",Face to Face,"NOGUCHI, Fusae",1
"30217
Winter
2025",JLP087,J,,"Vocabulary and Kanji for Intermediate Learners of Japanese 2
中級日本語学習者のための語彙・漢字2
4/M
H-352",Face to Face,"KAWAUCHI, Miwa",1
"30218
Winter
2025",JLP088,J,,"Special Japanese: Research Writing
日本語特別教育：論文作成法
4/M,5/M
H-375",Face to Face,"SAKURAGI, Tomomi",2
"30301
Winter
2025",GEX001,J,A,"X: Introduction to Christianity
Ｘ：キリスト教概論
5/TH,6/TH,7/TH
T-171","(150)
Face to Face","UEKI, Ken",3
"30302
Winter
2025",GEX001,J,B,"X: Introduction to Christianity
Ｘ：キリスト教概論
3/M,3/W,3/F
H-323","(150)
Face to Face","YAKIYAMA, Mariko",3
"30303
Winter
2025
[change]
2025/12/04",GEX001,E,C,"X: Introduction to Christianity
Ｘ：キリスト教概論
*4/W,*4/F
H-353","(150)
Face to Face","MCGLOTHLIN, Thomas Dwight",3
"30304
Winter
2025",GEH012,E,,"H1: Music and Society
Ｈ１：音楽と社会
3/TU,2/TH,3/TH
H-125","(100)
Face to Face","GILLAN, Matthew A.",3
"30305
Winter
2025
[change]
2025/12/04",GEH024,E,,"H1: The World of Literature (English Literature)
Ｈ１：文学の世界（英文学）
*4/W,*4/F
H-305","(130)
Face to Face","SIMONS, Christopher E. J.",3
"30306
Winter
2025",GEH033,E,,"H1: The World of Eastern Thought
Ｈ１：東洋思想の世界
3/TU,2/TH,3/TH
T-171","(130)
Face to Face","ESKILDSEN, Stephen Edward",3
"30307
Winter
2025
[change]
2025/06/30",GEH051,J,,"H2: Behavioral Sciences and Humanistic Sciences (A)
Ｈ２：行動の科学・人間性の科学（Ａ）
*4/W,*4/F
T-171","(130)
Face to Face","NAOI, Nozomi/CHAN, Christian/MIYAKAWA, Erika/NISHIMURA, Kaoru/SUDO, Mioko",3
"30308
Winter
2025",GES001,J,,"S1: Economy and Economics
Ｓ１：経済と経済学
3/TU,2/TH,3/TH
H-224","(130)
Face to Face","KAIZOJI, Taisei/INABA, Yushi",3
"30309
Winter
2025",GES009,J,,"S1: Debates in International Relations
Ｓ１：国際関係ディベート
3/TU,2/TH,3/TH
H-375","(130)
Face to Face","MORI, Katsuhiko/YOSHIKAWA, Motohide",3
"30310
Winter
2025",GES012,E,,"S1: Political Science (B)
Ｓ１：政治学（Ｂ）
*4/W,*4/F
H-259","(130)
Face to Face","SUH, Jae-Jung",3
"30311
Winter
2025",GES014,E,,"S1: U.S. Presidential Elections and American Society
Ｓ１：米国大統領選挙とアメリカ社会
3/TU,2/TH,3/TH
H-101","(130)
Face to Face","ISHIO, Yoshito",3
"30312
Winter
2025",GES021,J,,"S1: Invitation to Constitutional Law
Ｓ１：憲法への誘い
5/F,6/F,7/F
H-374","(130)
Face to Face","AKIYAMA, Hajime",3
"30313
Winter
2025
[change]
2025/10/17",GES028,J,,"S1: Social Media and Education
Ｓ１：ソーシャルメディアと教育
3/M,3/W,3/F
I-106","(75)
Face to Face","AOKI, Hiroyuki",3
"30314
Winter
2025",GES030,J,,"S1: Corporate Social Responsibility
Ｓ１：企業の社会的責任
*4/W,*4/F
H-151","(130)
Face to Face","YAMANE, Satoka",3
"30315
Winter
2025",GES032,J,,"S1: History
Ｓ１：歴史学
3/TU,2/TH,3/TH
H-151","(130)
Face to Face","TSUBAKIDA, Yukiko/OLAH, Csaba",3
"30316
Winter
2025",GES051,J,,"S2: Media and Cultural Signs
Ｓ２：メディアと記号
3/TU,2/TH,3/TH
T-229","(130)
Face to Face","AONUMA, Satoru",3
"30317
Winter
2025
[change]
2025/08/22",GES052,E,,"S2: The World of Cultural Translation
Ｓ２：文化翻訳の世界
*4/W,*4/F
H-323","(60)
Face to Face","GARZA, James Michael",3
"30318
Winter
2025",GES053,E,,"S2: Learning, Unlearning, and Knowing Others in the Information Age
Ｓ２： 情報化時代におけるラーニング・アンラーニングと他者理解
3/TU,2/TH,3/TH
H-105","(130)
Face to Face","HOWARD, Craig Dennis",3
"30319
Winter
2025",GES057,E,,"S2: Education Projects for Global and Social Change
Ｓ２：グローバル・社会変革のための教育プロジェクト
*4/M,*4/TH
H-357","(130)
Face to Face","DAWSON, Walter P.",3
"30320
Winter
2025
[change]
2025/12/04",GES096,J,,"S2: Physical and Mental Wellbeing
Ｓ２：こころとからだの健康
3/M,3/W,3/F
T-328","(130)
Face to Face","SHIMIZU, Yasuo",3
"30321
Winter
2025",GEN001,J,,"N1: Life Science (A)
Ｎ１：生命科学（Ａ）
2/M,2/W,2/F
T-229","(150)
Face to Face","WANG, Mu-Yun/AU YEUNG, Wan Kin/GOURAUD, Sabine Sandra Stephanie/KOSE, Hiroyuki",3
"30322
Winter
2025
[change]
2025/12/04",GEN011,J,,"N1:World of Physics (A) - Scientific Thinking
Ｎ１：物理の世界（Ａ）- 科学的な考え方
3/M,3/W,3/F
T-229","(150)
Face to Face","HIRASHIMA, Dai/YAMAZAKI, Rekishu",3
"30323
Winter
2025",GEN013,J,,"N1: The Chemical Basis of Nature
Ｎ１：自然の化学的基礎
3/TU,2/TH,3/TH
T-270","(150)
Face to Face","KOBAYASHI, Junji/KUBO, Kenya/CHUN, Wang Jae",3
"30324
Winter
2025",GEN028,J,,"N2: Statistical Analysis in Society
Ｎ２： 社会における統計分析
3/TU,2/TH,3/TH
T-328","(150)
Face to Face","SHIMIZU, Yuji/OMORI, Sawa/MORIKI, Yoshie",3
"30401
Winter
2025
[change]
2025/10/29",HPE001,J,G,"Health Science
健康科学
5/M
PEC1,PEC2","(70)
Face to Face","SATO, Kaori",1
"30402
Winter
2025
[change]
2025/10/29",HPE001,E,P,"Health Science
健康科学
6/F
PEC1,PEC2","(70)
Face to Face","OGAWA, Tadayuki",1
"30403
Winter
2025
[change]
2025/10/29",HPE001,J,R,"Health Science
健康科学
5/W
PEC1,PEC2","(70)
Face to Face","TERADA, Kayo",1
"30404
Winter
2025
[change]
2025/10/29",HPE001,J,S,"Health Science
健康科学
4/M
PEC1,PEC2","(70)
Face to Face","SATO, Kaori",1
"30405
Winter
2025
[change]
2025/10/29",HPE001,J,Y,"Health Science
健康科学
4/TH
PEC1,PEC2","(70)
Face to Face","TOYODA, Hayato",1
"30406
Winter
2025
[change]
2025/10/29",HPE001,J,Z,"Health Science
健康科学
5/TH
PEC1,PEC2","(70)
Face to Face","TOYODA, Hayato",1
"30407
Winter
2025
[change]
2025/10/29",HPE001,E,C,"Health Science
健康科学
5/F
PEC1,PEC2","(70)
Face to Face","OGAWA, Tadayuki",1
"30408
Winter
2025
[change]
2025/10/29",HPE003,J,,"Physical Education
体育理論
3/W
PEC1,PEC2","(90)
Face to Face","TERADA, Kayo",1
"30409
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
5/W","(20)
Face to Face","HASEGAWA, Ken",1/3
"30410
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
3/TU","(20)
Face to Face","HASEGAWA, Ken",1/3
"30411
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
3/TH","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30412
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
5/TH","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30413
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
6/TH","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30414
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"30415
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/M","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30416
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/F","(20)
Face to Face","HOKARI, Minako",1/3
"30417
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/F","(20)
Face to Face","HOKARI, Minako",1/3
"30418
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/TH","(20)
Face to Face","GORAI, Asuka",1/3
"30419
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"30420
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/TH","(20)
Face to Face","GORAI, Asuka",1/3
"30421
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/TU","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30422
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/M","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30423
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/TH","(20)
Face to Face","TERADA, Kayo",1/3
"30424
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/TU","(20)
Face to Face","GORAI, Asuka",1/3
"30425
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/TU","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30426
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/TH","(20)
Face to Face","TERADA, Kayo",1/3
"30427
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/W","(20)
Face to Face","SATO, Kaori",1/3
"30428
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/W","(20)
Face to Face","HASEGAWA, Ken",1/3
"30429
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/F","(20)
Face to Face","GORAI, Asuka",1/3
"30430
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/F","(20)
Face to Face","GORAI, Asuka",1/3
"30431
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/F","(20)
Face to Face","HASEGAWA, Ken",1/3
"30432
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/M","(20)
Face to Face","KASAI, Hiromi",1/3
"30433
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/TH","(20)
Face to Face","TERADA, Kayo",1/3
"30434
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/F","(20)
Face to Face","HASEGAWA, Ken",1/3
"30435
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/W","(20)
Face to Face","HASEGAWA, Ken",1/3
"30436
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/TU","(20)
Face to Face","GORAI, Asuka",1/3
"30437
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/TU","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30438
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/F","(20)
Face to Face","GORAI, Asuka",1/3
"30439
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/W","(20)
Face to Face","SATO, Kaori",1/3
"30440
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/M","(20)
Face to Face","KASAI, Hiromi",1/3
"30441
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
3/TU","(20)
Face to Face","SATO, Kaori",1/3
"30442
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/TH","(20)
Face to Face","GORAI, Asuka",1/3
"30443
Winter
2025",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/TU","(20)
Face to Face","SATO, Kaori",1/3
"30444
Winter
2025",HPE010,,C,"Team Sports I FLYING DISC
ティームスポーツ I
4/M","(20)
Face to Face","HONDA, Masakazu",1/3
"30445
Winter
2025",HPE010,,C,"Team Sports I ULTIMATE FLYING DISC
ティームスポーツ I
5/M","(20)
Face to Face","HONDA, Masakazu",1/3
"30446
Winter
2025
[change]
2025/06/20",HPE011,,C,"Team Sports II BASKETBALL
ティームスポーツ II
6/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"30447
Winter
2025",HPE011,,C,"Team Sports II VOLLEYBALL
ティームスポーツ II
3/M","(20)
Face to Face","OKA, Yoshiro",1/3
"30448
Winter
2025",HPE011,,C,"Team Sports II VOLLEYBALL
ティームスポーツ II
2/M","(20)
Face to Face","OKA, Yoshiro",1/3
"30449
Winter
2025
[change]
2025/06/20",HPE011,,C,"Team Sports II TEAM BUILDING
ティームスポーツ II
5/TU","(20)
Face to Face","GORAI, Asuka",1/3
"30450
Winter
2025",HPE012,,C,"Beginning Dual Sports TABLE TENNIS
初級対人スポーツ
3/F","(20)
Face to Face","OKADA, Mitsuhiro",1/3
"30451
Winter
2025",HPE012,,C,"Beginning Dual Sports BADMINTON
初級対人スポーツ
2/F","(20)
Face to Face","TERADA, Kayo",1/3
"30452
Winter
2025
[change]
2025/06/20",HPE014,,C,"Beginning Individual Sports SMART SWIMMING
初級個人スポーツ
3/F","(20)
Face to Face","SATO, Kaori",1/3
"30453
Winter
2025
[change]
2025/06/24",HPE014,,C,"Beginning Individual Sports SMART SWIMMING
初級個人スポーツ
3/W","(20)
Face to Face","SATO, Kaori",1/3
"30454
Winter
2025",HPE016,,C,"Beginning Self Testing Activities PHYSICAL CONDITIONING
初級個人試技活動
3/F","(20)
Face to Face","TERADA, Kayo",1/3
"30455
Winter
2025",HPE016,,C,"Beginning Self Testing Activities BOULDER
初級個人試技活動
2/TU","(20)
Face to Face","NISHITANI, Yoshiko",1/3
"30456
Winter
2025",HPE016,,C,"Beginning Self Testing Activities ROPE CLIMBING
初級個人試技活動
1/TU","(20)
Face to Face","NISHITANI, Yoshiko",1/3
"30457
Winter
2025
[change]
2025/06/20",HPE016,,C,"Beginning Self Testing Activities ROPE CLIMBING
初級個人試技活動
3/F","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30458
Winter
2025",HPE016,,C,"Beginning Self Testing Activities BODY WORK
初級個人試技活動
3/W","(20)
Face to Face","NAKADA, Satoshi",1/3
"30459
Winter
2025",HPE018,,C,"Beginning Combative Activities AIKIDO
初級格闘技
4/M","(20)
Face to Face","YAMAGUCHI, Michiru",1/3
"30460
Winter
2025",HPE018,,C,"Beginning Combative Activities AIKIDO
初級格闘技
5/M","(20)
Face to Face","YAMAGUCHI, Michiru",1/3
"30461
Winter
2025",HPE018,,C,"Beginning Combative Activities TAIKYOKUKEN
初級格闘技
2/W","(20)
Face to Face","KEZUKA, Mieko",1/3
"30462
Winter
2025",HPE018,,C,"Beginning Combative Activities TAIKYOKUKEN
初級格闘技
3/W","(20)
Face to Face","KEZUKA, Mieko",1/3
"30463
Winter
2025",HPE021,,C,"Beginning Rhythms and Dance SOCIAL DANCE
初級リズムダンス
2/TU","(20)
Face to Face","KAMATSUKA, Masanori",1/3
"30464
Winter
2025",HPE021,,C,"Beginning Rhythms and Dance SOCIAL DANCE
初級リズムダンス
3/TU","(20)
Face to Face","KAMATSUKA, Masanori",1/3
"30465
Winter
2025",HPE021,,C,"Beginning Rhythms and Dance HIP HOP
初級リズムダンス
2/W","(20)
Face to Face","KASAI, Hiromi",1/3
"30466
Winter
2025",HPE021,,C,"Beginning Rhythms and Dance JAZZ DANCE
初級リズムダンス
3/W","(20)
Face to Face","KASAI, Hiromi",1/3
"30467
Winter
2025
[change]
2025/06/20",HPE023,,C,"Organized Games and Crafts RECREATION SPORTS
ゲームとクラフト
3/W","(20)
Face to Face","GORAI, Asuka",1/3
"30468
Winter
2025",HPE024,,C,"Adapted Physical Education ADAPTED P.E.
アダプテッド体育",Face to Face,"TERADA, Kayo/HASEGAWA, Ken/SATO, Kaori/GORAI, Asuka/HIGASHIYAMA, Masao",1/3
"30469
Winter
2025",HPE025,,C,"Introduction to Japanese Budo JAPANESE BUDO
武道入門
4/W","(20)
Face to Face","NAKADA, Satoshi",1/3
"30470
Winter
2025
[change]
2025/06/20",HPE006,,C,"Physical Education Exercise II
PE エクササイズⅡ
5/TU","(20)
Face to Face","HASEGAWA, Ken",1/3
"30471
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/W","(20)
Face to Face","GORAI, Asuka",1/3
"30472
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
5/F","(20)
Face to Face","SATO, Kaori",1/3
"30473
Winter
2025
[change]
2025/06/20",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
4/F","(20)
Face to Face","SATO, Kaori",1/3
"30474
Winter
2025
[change]
2025/06/24",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/W","(20)
Face to Face","SATO, Kaori",1/3
"30475
Winter
2025
[change]
2025/06/24",HPE007,,C,"Physical Education Exercise III
PE エクササイズⅢ
2/F","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"30501
Winter
2025",WAB103,O,,"Arabic III
アラビア語 III
5/M,6/M,5/W,6/W,5/F,6/F
H-107","(25)
Face to Face","ABUSINNA, Neama Emam Mohamed/KINOSHITA, Sotoku",4
"30502
Winter
2025",WBI101,O,,"Bahasa Indonesia for Beginners
入門 インドネシア語
5/TH,6/TH,7/TH
H-260","(25)
Face to Face","FURIHATA, Masashi",2
"30503
Winter
2025
[change]
2025/03/13",WCN103,O,A,"Chinese III
中国語 III
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
I-103","(25)
Face to Face","ZHAN, Haiyan/SHI, Huimei",4
"30504
Winter
2025",WCN103,O,B,"Chinese III
中国語 III
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
H-375","(25)
Face to Face","QI, Hong/ZHAN, Haiyan",4
"30505
Winter
2025
[change]
2025/03/13",WCN203,O,,"Advanced Chinese III
上級中国語 III
1/TH,2/TH,3/TH
I-104","(25)
Face to Face","QI, Hong",3
"30506
Winter
2025",WFR103,O,A,"French III
フランス語 III
5/TU,6/TU,5/W,6/W,5/F,6/F
H-373","(25)
Face to Face","SHIRAISHI, Yoshiharu/DAIZEN, Mariko/DONATI, Jean-Alexis",4
"30507
Winter
2025",WFR103,O,B,"French III
フランス語 III
*4/M,*5/M,*4/TH,*5/TH
H-354","(25)
Face to Face","BUREAU, Xavier/BELEC, Cedric",4
"30508
Winter
2025",WFR103,O,C,"French III
フランス語 III
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
H-357","(25)
Face to Face","BELEC, Cedric/PIRIOU, Vincent N.",4
"30509
Winter
2025",WFR203,O,,"Advanced French III
上級フランス語Ⅲ
5/W,6/W,7/W
H-356","(25)
Face to Face","BELEC, Cedric",3
"30510
Winter
2025
[change]
2025/08/07",WGR103,O,,"German III
ドイツ語 III
5/M,6/M,7/M,5/W,6/W,7/W
H-108","(25)
Face to Face","MINAMI, Harz/ENDO, Kosuke",4
"30511
Winter
2025",WGR203,O,,"Advanced German III
上級ドイツ語 III
5/W,6/W,7/W
H-355","(25)
Face to Face","BARTSCH, Josua",3
"30512
Winter
2025",WIT103,O,,"Italian III
イタリア語 III
5/M,6/M,5/W,6/W,5/F,6/F
H-106A","(25)
Face to Face","NAKAYA, Shinko/BUCCI, Concettina",4
"30513
Winter
2025
[change]
2025/08/20",WKR103,O,A,"Korean III
韓国語 III
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
H-304","(25)
Face to Face","KIM, Myeong-Hee/KIM, Sung Eun",4
"30514
Winter
2025",WKR103,O,B,"Korean III
韓国語 III
*4/W,*5/W,*4/F,*5/F
H-358","(25)
Face to Face","KIM, Sung Eun/OHE, Hye-Gyeong",4
"30515
Winter
2025",WKR203,O,,"Advanced Korean III
上級韓国語 III
5/W,6/W,7/W
H-354","(25)
Face to Face","OHE, Hye-Gyeong",3
"30516
Winter
2025",WRU103,O,,"Russian III
ロシア語 III
5/TU,6/TU,7/TU,5/TH,6/TH,7/TH
H-124","(25)
Face to Face","FUKASAWA, Yoko/GOTO, Ksenia",4
"30517
Winter
2025",WSP103,O,A,"Spanish III
スペイン語 III
1/TU,2/TU,3/TU,1/TH,2/TH,3/TH
H-123","(25)
Face to Face","NASU, Madori/QUINTERO GARCIA, Daniel",4
"30518
Winter
2025",WSP103,O,B,"Spanish III
スペイン語 III
*4/M,*5/M,*4/TH,*5/TH
H-355","(25)
Face to Face","ROQUE DE HISHIYAMA, Adiene Susej/NASU, Madori",4
"30519
Winter
2025",WSP203,O,,"Advanced Spanish III
上級スペイン語 III
5/M,6/M,7/M
H-373","(25)
Face to Face","QUINTERO GARCIA, Daniel",3
"30601
Winter
2025",ELG201,E,,"Advanced English Studies: TOEFL
上級総合英語：TOEFL
3/M,3/W
H-208","(22)
Face to Face",CASTELLANO Joachim E.,2
"30602
Winter
2025",ELG202,E,,"Advanced English Studies: IELTS
上級総合英語：IELTS
1/W,1/F
H-201","(22)
Face to Face","MOROOKA, Mari",2
"30603
Winter
2025",ELG203,E,,"Advanced English Studies: Presentation Skills
上級総合英語：プレゼンテーション・スキル
3/M,3/W
H-252","(22)
Face to Face","WILLIAMS, Miharu",2
"30604
Winter
2025
[change]
2025/09/02",ELG204,E,,"English College Composition for JLP Track Students
JLP履修対象生のためのイングリッシュ・カレッジ・コンポジション
*5/W,*5/F","(22)
Face to Face","WATANABE-KIM, Izumi",3
"30605
Winter
2025",ELG207,E,,"Advanced English Studies: Creative Writing
上級総合英語：クリエイティブ・ライティング
1/M,1/W
H-204","(22)
Face to Face","OKE, Alex",2
"30606
Winter
2025
[change]
2025/02/07",TCP101,E,,"English Communication
英語コミュニケーション
5/M,6/M
H-101",Face to Face,"MIYAHARA, Masuko",2
"30607
Winter
2025",TCP205,J,,"Teaching Methods in Mathematics (Sugaku-Ka) II
数学科教育法 II
5/F,6/F
H-357",Face to Face,"MAKINAE, Naomichi",2
"30608
Winter
2025",TCP208,J,,"Teaching Methods in Natural Sciences (Rika) I
理科教育法 I
2/SA,3/SA
T-113",Face to Face,"YOSHIDA, Miku",2
