"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"10526
Spring
2026",WSP101,O,D,"Spanish I
スペイン語 I
5/M,6/M,5/TU,6/TU,5/TH,6/TH
H-358","(25)
Face to Face","CUBILLOS QUEZADA, Francisca Andrea/ROQUE DE HISHIYAMA, Adiene Susej/ALCANIZ BUCETA, Vicente",4
"10527
Spring
2026",WSP201,O,,"Advanced Spanish I
上級スペイン語 I
5/M,6/M,7/M
H-273","(25)
Face to Face","GARCIA BERNAL, Carmen Belen",3
"10601
Spring
2026",ELG101,E,,"Overseas Academic Skills
アカデミック・スキル 海外研修


(For Freshman SEA Program students)",Face to Face,STAFF,3
"10602
Spring
2026",ELG102,E,,"Overseas Research Writing
論文作成 海外研修


(For Sophomore SEA Program students)",Face to Face,STAFF,3
"10603
Spring
2026",ELG201,E,,"Advanced English Studies: TOEFL
上級総合英語：TOEFL
1/M,1/W
H-157","(22)
Face to Face","MOROOKA, Mari",2
"10604
Spring
2026",ELG202,E,A,"Advanced English Studies: IELTS
上級総合英語：IELTS
1/W,1/F
H-253","(22)
Face to Face","ECKHAUS, Rebekka",2
"10605
Spring
2026",ELG202,E,B,"Advanced English Studies: IELTS
上級総合英語：IELTS
3/M,3/W
H-202","(22)
Face to Face","MACKENZIE, Graham",2
"10606
Spring
2026",ELG301,E,,"The Foundations of Tutoring Academic Writing (English)
アカデミック・ライティングのためのチュータリングの基礎（英語）
1/M,1/W
H-202","(22)
Face to Face","GARNER, Joe",2
"10607
Spring
2026",TCP210,J,,"Teaching Methods in Natural Sciences (Rika) III
理科教育法 III
5/TU,6/TU
H-357",Face to Face,"KAMATA, Masahiro",2
"10608
Spring
2026",TCP218,J,,"Teaching Methods in Social Studies (Shakai-Ka),Geography and History (Chirirekishi-Ka) I
社会科・地理歴史科教育法 I
5/TU,6/TU
H-124",Face to Face,"JIN, Kumiko",2
"10609
Spring
2026",TCP231,J,,"Guidance to Teaching Practice
教育実習事前事後指導


SPRING RECESS and After Teaching Practice",Face to Face,"SATO, Chizu/OKAWA, Hiroshi",1
"10610
Spring
2026",TCP232,J,,"Teaching Practice I
教育実習 I",Face to Face,"SATO, Chizu/OKAWA, Hiroshi",2
"10611
Spring
2026",TCP233,J,,"Teaching Practice II
教育実習 II",Face to Face,"SATO, Chizu/OKAWA, Hiroshi",4
"10612
Spring
2026",TCP245,J,,"Chishi(Regional Geography)
地誌
2/TH,3/TH
H-176",Face to Face,"YAMAMOTO, Ryuta",2
"10613
Spring
2026",TCP253,J,,"Introduction to World History
世界史概論
5/TH,6/TH
H-157",Face to Face,"ISHIWATA, Takumi",2
"10614
Spring
2026",CTP201,J,,"Introduction to Lifelong Learning
生涯学習概論
2/SA,3/SA
H-153",Face to Face,"WATANABE, Yuko",2
"10615
Spring
2026",CTP202,J,,"Museum Education
博物館教育論
5/TH,6/TH
H-274",Face to Face,"WATANABE, Yuko",2
"10616
Spring
2026
[change]
2026/02/16",SLR101,E,,"Introduction to Service-Learning
サービス・ラーニング概論
2/TH,3/TH,(5/SA,6/SA)
H-353",Face to Face,"KATO, Etsuko/KURONUMA, Atsuko",3
"10617
Spring
2026",SLR201,J,,"Preparation for Service-Learning Field Study
サービス・ラーニングの実習準備
5/M
H-374",Face to Face,"KURONUMA, Atsuko",1
"11001
Spring
2026",STH391,,,"Senior Thesis
卒業研究",,STAFF,3/(9)
"11122
Spring
2026",ANT102,J,,"Critical Issues in Anthropology
現代人類学の諸問題
3/M,3/W,3/F
H-151","(180)
Face to Face","KATO, Etsuko",3
"11123
Spring
2026",ANT205,E,,"Environment and Human Life
環境と人間生活
*5/M,*5/TH
T-270",Face to Face,"SAIT, Callan",3
"11124
Spring
2026
[change]
2026/02/16",ANT206,J,,"Medical Anthropology
医療人類学
5/TH,6/TH
H-323",Face to Face,"KURATA, Makoto",2
"11125
Spring
2026
[change]
2026/02/05",ANT208,J,,"Readings in Anthropological Texts
人類学原書講読
5/F,6/F
H-358",Face to Face,"TAKASAKI, Megumi",2
"11126
Spring
2026",ANT212,J,,"Demographic anthropology
人口人類学
*4/M,*4/TH
T-171",Face to Face,"MORIKI, Yoshie",3
"11127
Spring
2026",ANT311,J,,"Field Training in Anthropology I
人類学調査実習 I
2/W,2/F
H-352",Face to Face,"MORIKI, Yoshie",2
"11128
Spring
2026",ARC205,E,,"Japanese Archaeology
日本考古学
5/F,6/F,7/F
H-173",Face to Face,"HAYASHI, Toru",3
"11129
Spring
2026",ARC206,J,,"Medieval Art of the West
西洋中世美術
1/TU,2/TU,1/TH
H-259",Face to Face,"ITO, Aki",3
"11130
Spring
2026",ARC208,J,,"Modern Art II
近代美術 II
5/W,6/W,7/W
H-357",Face to Face,"AKATSUKA, Wakagi",3
"11131
Spring
2026",ARC209,J,,"Introduction to Museology
博物館概論
5/TU,6/TU
H-260",Face to Face,"TERADA, Ayumi",2
"11132
Spring
2026",AST102,J,,"History of East Asia in Asian Studies
アジア研究における東アジアの歴史
3/TU,2/TH,3/TH
H-276","(180)
Face to Face","KIKUCHI, Hideaki",3
"11133
Spring
2026",BIO102,J,A,"Introduction to Biology
生物学入門
3/TU,3/TH
H-305","(180)
Face to Face","KAMITO, Takehiko",2
"11134
Spring
2026",BIO102,E,B,"Introduction to Biology
生物学入門
3/TU,3/TH
H-101","(180)
Face to Face","WANG, Mu-Yun",2
"11135
Spring
2026
[change]
2026/03/03",BIO103,J,,"Laboratory in Foundation of Biology
基礎生物学実習
4/M,(5/M,6/M,7/M)
T-125","(180)
Face to Face","KOSE, Hiroyuki/GOURAUD, Sabine Sandra Stephanie/HAYAMA, Ryosuke/AU YEUNG, Wan Kin/MIZOGUCHI, Tsuyoshi",2
"11136
Spring
2026",BIO212,E,,"Basic Concepts in Cell Biology
細胞生物学概論
2/M,2/W
H-306",Face to Face,"GOURAUD, Sabine Sandra Stephanie",2
"11137
Spring
2026",BIO213,E,,"Basic Concepts in Genetics
遺伝学概論
4/W,4/F
H-260",Face to Face,"HAYAMA, Ryosuke",2
"11138
Spring
2026",BIO214,E,,"Biostatistics
生物統計学
5/F,6/F
T-229",Face to Face,"AU YEUNG, Wan Kin",2
"11139
Spring
2026",BIO342,J,,"Plant Physiology
植物生理学
1/M,1/W
H-258",Face to Face,"MIZOGUCHI, Tsuyoshi",2
"11140
Spring
2026
[change]
2026/03/03",BIO351,J,,"Laboratory in Animal Development
動物発生学実習
4/TH,(5/TH,6/TH,7/TH)
T-126",Face to Face,"HIROKI, Masato",2
"11141
Spring
2026",BIO354,J,,"Laboratory in Molecular Genetics
分子遺伝学実習


SPRING RECESS",Face to Face,"KOSE, Hiroyuki",1
"11142
Spring
2026
[change]
2026/02/16",BIO381,E,A,"Advanced Seminar in Biology I
生物学特別演習 I
5/W,6/W
T-249",Face to Face,"GOURAUD, Sabine Sandra Stephanie",2
"11143
Spring
2026
[change]
2026/02/16",BIO381,E,B,"Advanced Seminar in Biology I
生物学特別演習 I
5/W,6/W
T-250",Face to Face,"AU YEUNG, Wan Kin",2
"11144
Spring
2026
[change]
2026/02/16",BIO384,E,A,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-112",Face to Face,"WANG, Mu-Yun",2
"11145
Spring
2026
[change]
2026/02/16",BIO384,E,B,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-113",Face to Face,"KOSE, Hiroyuki",2
"11146
Spring
2026
[change]
2026/02/16",BIO384,E,C,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-249",Face to Face,"MIZOGUCHI, Tsuyoshi",2
"11147
Spring
2026
[change]
2026/02/16",BIO384,E,D,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-250",Face to Face,"GOURAUD, Sabine Sandra Stephanie",2
"11148
Spring
2026
[change]
2026/02/16",BIO384,E,E,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-342",Face to Face,"HAYAMA, Ryosuke",2
"11149
Spring
2026
[change]
2026/02/16",BIO384,E,F,"Advanced Studies in Biology I
生命科学特論 I
6/SA,7/SA
T-343",Face to Face,"AU YEUNG, Wan Kin",2
"11150
Spring
2026",BUS101,J,,"Accounting
会計学
3/M,3/W,3/F
T-270","(180)
Face to Face","YAMANE, Satoka",3
"11151
Spring
2026",BUS102,J,,"Introduction to Business Administration
経営学序説
5/M,6/M,7/M
T-171","(180)
Face to Face","KODAMA, Koichiro",3
"11152
Spring
2026",BUS201,J,,"Business Administration
経営学
1/TU,2/TU,1/TH
T-328",Face to Face,"INABA, Yushi",3
"11153
Spring
2026
[change]
2026/02/25",BUS205,E,,"International Marketing
国際マーケティング論
5/TU,6/TU,7/TU
H-374",Face to Face,"KOO, Ja Seung",3
"11154
Spring
2026",BUS212,J,,"Managerial Accounting
管理会計論
*5/W,*5/F
H-151",Face to Face,"YAMANE, Satoka",3
"11155
Spring
2026",BUS309,E,,"Readings in International Economy and International Management
国際経済・国際経営文献講読
5/TU,6/TU
H-123",Face to Face,"ZHU, Xiji",2
"11156
Spring
2026
[change]
2026/03/03",CHM102,E,,"Foundation of Chemistry Laboratory
基礎化学実験
(4/F,5/F,6/F,7/F)
T-406","(180)
Face to Face","TSUNODA, Makoto/KOBAYASHI, Yoshio/KUBO, Kenya",2
"11157
Spring
2026",CHM103,J,,"General Chemistry
基礎化学
3/M,3/W
H-307","(180)
Face to Face","CHUN, Wang Jae",2
"11158
Spring
2026
[change]
2026/03/03",CHM232,J,,"Organic Chemistry Laboratory
有機化学実験
(4/F,5/F,6/F,7/F)
T-316",Face to Face,"KOBAYASHI, Junji",2
"11159
Spring
2026",CHM241,J,,"Physical Chemistry I
物理化学 I
2/M,2/W
H-307",Face to Face,"CHUN, Wang Jae",2
"11160
Spring
2026",CHM322,J,,"Inorganic Chemistry III
無機化学 III
5/TU,6/TU
H-324",Face to Face,"KAWANO, Yasuro",2
"11161
Spring
2026",CHM331,J,,"Organic Chemistry II
有機化学 II
2/F,3/F
T-342",Face to Face,"KOBAYASHI, Junji",2
"11162
Spring
2026
[change]
2026/03/05",CHM381,E,A,"Studies in Chemical Research I
化学特別研究 I
6/SA,7/SA
H-103",Face to Face,"CHUN, Wang Jae",2
"11163
Spring
2026
[change]
2026/03/05",CHM381,E,B,"Studies in Chemical Research I
化学特別研究 I
6/SA,7/SA
H-105",Face to Face,"TSUNODA, Makoto",2
"11164
Spring
2026",DPS103,J,,"Gender and Development
ジェンダーと開発
3/M,3/W,3/F
H-308","(180)
Face to Face","TAKAMATSU, Kana",3
"11165
Spring
2026",DPS202,J,,"International Cooperation for Development
国際開発協力論
1/SA,2/SA,3/SA
H-155",Face to Face,"KOBAYASHI, Takaaki",3
"11166
Spring
2026",DPS204,J,,"Development Microeconomics
開発のミクロ経済学
4/M,4/TH
H-103",Face to Face,"KONDO, Masanori",2
"11167
Spring
2026",ECO101,E,,"Principles of Macroeconomics
マクロ経済学原論
3/TU,2/TH,3/TH
T-229","(180)
Face to Face","MONTGOMERY, Heather A.",3
"11168
Spring
2026",ECO102,E,,"Principles of Microeconomics
ミクロ経済学原論
*4/W,*4/F
H-305","(180)
Face to Face","MARSZALEC, Daniel Janusz",3
"11169
Spring
2026
[change]
2026/03/02",ECO103,J,,"Statistics for Business and Economics
経済と経営のための統計学
5/W,6/W,7/W
I-106","(81)
Face to Face","KANAZAWA, Yuichiro",3
"11170
Spring
2026
[change]
2026/04/02",ECO211,J,,"Econometrics
計量経済学
5/M,6/M,7/M
I-106","(44)
Face to Face","INOUE, Tomoo",3
"11171
Spring
2026
[change]
2026/03/02",ECO214,E,,"Introductory Mathematical Programming
数理プログラミング入門
5/F,6/F,7/F
I-206","(50)
Face to Face","SHENG, Dachen",3
"11172
Spring
2026",ECO231,J,,"Game Theory
ゲーム理論
*4/M,*4/TH
H-124",Face to Face,"OGAWA, Akira",3
"11173
Spring
2026",ECO234,E,,"Monetary Theory and Policy
金融の理論と政策
*4/M,*4/TH
H-107",Face to Face,"MONTGOMERY, Heather A.",3
"11174
Spring
2026",ECO257,J,,"Labor Economics
労働経済学
5/M,6/M,7/M
H-223",Face to Face,"NAITO, Tomoe",3
"11175
Spring
2026",ECO333,J,,"Intermediate Microeconomics II
中級ミクロ経済学 II
*5/M,*5/TH
H-124",Face to Face,"OGAWA, Akira",3
"11176
Spring
2026",ECO334,J,,"Macroeconomic Theory
マクロ経済理論
*4/M,*4/TH
H-354",Face to Face,"KAIZOJI, Taisei",3
"11177
Spring
2026",ECO354,E,,"Environmental Economics
環境経済学
*5/W,*5/F
H-305",Face to Face,"MARSZALEC, Daniel Janusz",3
"11178
Spring
2026",EDU101,J,,"Theories and Methods of ICT Application to Education
教育におけるICT活用の理論と方法
5/F,6/F
H-205","(180)
Face to Face","AOKI, Hiroyuki/NAKAYA, Kae",2
"11179
Spring
2026",EDU115,J,,"Principles of Education
教育原理
3/M,3/W
H-223","(180)
Face to Face","OKAWA, Hiroshi",2
"11180
Spring
2026",EDU118,J,,"Psychological Perspectives on Effective Teaching and Learning
効果的教育に向けた心理学的アプローチ
*4/W,*4/F
H-224","(180)
Face to Face","SHIMIZU, Yasuo",3
"11181
Spring
2026",EDU209,J,,"Educational Communication as the Foundation for Peace
平和を育む教育コミュニケーション
2/TU,1/TH
H-353",Face to Face,"AOKI, Hiroyuki",2
"11182
Spring
2026",EDU212,J,,"Curriculum and Instruction
カリキュラム論
5/W,6/W
H-223",Face to Face,"SATO, Chizu",2
"11183
Spring
2026",EDU221,E,,"Education in Developing Nations
発展途上国における教育
5/M,5/TH
H-260",Face to Face,"DAWSON, Walter P.",2
"11184
Spring
2026",EDU222,J,,"Sociology of Education
教育社会学
*4/M,*4/TH
H-323",Face to Face,"NISHIMURA, Mikiko",3
"11185
Spring
2026",EDU223,E,,"Learning Analytics I
ラーニング・アナリティクス I
2/W,2/F
T-249",Face to Face,"HOWARD, Craig Dennis",2
"11186
Spring
2026",EDU225,J,,"Computational Thinking Education
コンピュテーション思考の教育
*5/M,*5/TH
T-250",Face to Face,"AOKI, Hiroyuki",3
"11187
Spring
2026",EDU228,J,,"Extra-Curricular Activities and Teaching Methods for the Integrated Studies Period
特別活動・総合的な学習の時間の指導法
1/TU,2/TU
H-151",Face to Face,"TAKAHASHI, Kazuya",2
"11188
Spring
2026",EDU315,E,,"Japanese Education in Comparative Perspective
比較の視点からみた日本の教育
5/W,6/W,7/W
H-307",Face to Face,"TARUMI, Yuko",3
"11189
Spring
2026",ENV103,J,,"Introduction to Environmental Management
環境経営入門
2/TH,3/TH
H-224","(180)
Face to Face","MORI, Tetsuro",2
"11190
Spring
2026",GSS201,E,,"Gender and International Relations
ジェンダーと国際関係
2/M,2/W,2/F
H-223",Face to Face,"TAKAMATSU, Kana",3
"11191
Spring
2026
[change]
2026/03/04",GSS301,J,,"Gender, Sexuality and Critical Theory
ジェンダー、セクシュアリティと批評理論
5/TU,6/TU,7/TU
H-275",Face to Face,"KAWASAKA, Kazuyoshi",3
"11192
Spring
2026",HST102,J,,"History of Europe (Britain) I
西洋史（イギリス）I
3/TU,2/TH,3/TH
H-125","(180)
Face to Face","NASU, Kei",3
"11193
Spring
2026
[change]
2026/02/06",HST104,E,,"History of Japan (Ancient and Medieval) I
日本史（古代・中世）I
1/SA,2/SA,3/SA
H-152","(180)
Face to Face","NAKAI, Maki",3
"11194
Spring
2026",HST211,J,,"Methods for Historical Research
歴史学研究方法
*5/M,*5/TH
H-101",Face to Face,"TSUBAKIDA, Yukiko/NASU, Kei",3
"11195
Spring
2026",HST223,J,,"Society and Culture in Early Modern Japan
近世日本の社会と文化
*4/M,*4/TH
H-101",Face to Face,"TSUBAKIDA, Yukiko",3
"11196
Spring
2026",HST233,J,,"History of South Asia (India)
南アジア史（インド）
5/F,6/F
H-357",Face to Face,"UNO, Ayako",2
"11197
Spring
2026",HST237,J,,"History of Korea
韓国史
5/M,6/M
H-256",Face to Face,"ROKUTANDA, Yutaka",2
"11198
Spring
2026",HST245,J,,"Social History of Europe
ヨーロッパ社会史
5/M,6/M,7/M
H-304",Face to Face,"SUZUKI, Yoshikazu",3
"11199
Spring
2026",HST251,J,,"History of Latin America
ラテンアメリカ史
5/TH,6/TH
H-202",Face to Face,"FUSHIMI, Takeshi",2
"11200
Spring
2026",HST323,J,,"Advanced Studies in Modern Japanese History
近現代日本史特別研究
5/TH,6/TH,7/TH
H-155",Face to Face,"GODO, Natsuko",3
"11201
Spring
2026",IRL102,E,,"Introduction to International Relations
国際関係学概論
3/TU,2/TH,3/TH
H-205","(180)
Face to Face","MORI, Katsuhiko",3
"11202
Spring
2026
[change]
2026/02/12",IRL214,E,,"International Political Economy
国際政治経済学
1/TH,2/TH
H-308",Face to Face,"MIURA, Hideyuki",2
"11203
Spring
2026",IRL215,E,,"Ethnicity, Identity and Nationalism
ナショナリズム研究
4/M,4/TH
H-275",Face to Face,"SHANI, Giorgiandrea",2
"11204
Spring
2026",IRL233,E,,"Politics and International Relations in Africa
アフリカの政治と国際関係
5/M,5/TH
H-205",Face to Face,"SALTON, Herman",2
"11205
Spring
2026
[change]
2026/02/27",IRL234,E,,"Politics and International Relations in China
中国の政治と国際関係
1/TU,2/TU",Face to Face,"NAGY, Stephen R.",2
"11206
Spring
2026",IRL237,J,,"Politics and International Relations in Latin America
ラテンアメリカの政治と国際関係
5/M,6/M
H-308",Face to Face,"OHGUSHI, Kazuo",2
"11207
Spring
2026
[change]
2026/03/02",ISC103,E,,"Foundation of Computers
コンピュータ基礎
*4/M,*4/TH
I-106","(81)
Face to Face","TANAKA, Hiroki",3
"11208
Spring
2026
[change]
2026/03/02",ISC222,E,,"Computer Languages
コンピュータ言語
5/F,(6/F,7/F)
I-106","(81)
Face to Face","TANAKA, Hiroki",2
"11209
Spring
2026
[change]
2026/03/02",ISC224,J,,"Operating Systems
オペレーティングシステム
1/TU,2/TU
I-212","(63)
Face to Face","KABURAGI, Takashi",2
"11210
Spring
2026
[change]
2026/03/02",ISC314,J,,"Numerical Methods in Science
数値解析入門
5/M,6/M
I-212","(63)
Face to Face","KABURAGI, Takashi",2
"11211
Spring
2026
[change]
2026/03/02",ISC351,J,,"Computer Games
コンピュータゲーム
5/TH,(6/TH)
I-212","(63)
Face to Face","OHTA, Keiji",2
"11212
Spring
2026",JPS101,E,,"Introduction to Japan Studies
日本研究概論
*4/W,*4/F
H-323","(180)
Face to Face","SONOYAMA, Senri",3
"11213
Spring
2026
[change]
2026/02/24",LED102,E,,"Principles of Language Learning and Teaching
言語教授法原論
5/M,6/M,7/M
H-151","(180)
Face to Face","SUGA, Kiyotaka",3
"11214
Spring
2026",LED215,E,,"Pronunciation for Language Teaching
教授用音声学と音韻論
*5/M,*5/TH
H-107",Face to Face,"QUAY, Suzanne",3
"11215
Spring
2026",LED231,J,,"English Linguistics for Language Teaching
言語教育のための英語学
2/M,2/W,2/F
H-275",Face to Face,"SHIROZA, Saran",3
"11216
Spring
2026",LED235,J,,"Teaching Methods in English (Eigo-ka) III
英語科教育法III
*5/W,*5/F
H-260",Face to Face,"FUJII, Akiko",3
"11217
Spring
2026",LED236,J,,"Topics in English Grammar for Language Education
言語教育のための英語文法 I
1/M,1/W,1/F
H-275",Face to Face,"SHIROZA, Saran",3
"11218
Spring
2026
[change]
2026/04/03",LED251,J,,"History of the Japanese Language I
日本語史 I
5/TU,6/TU,7/TU
H-105",Face to Face,"HIRAHARA, Maki",3
"11219
Spring
2026",LED252,J,,"Japanese Linguistics for Language Teaching
言語教育のための日本語学
2/M,2/W,2/F
H-308",Face to Face,"CHUN, Sunyoung",3
"11220
Spring
2026",LED271,J,,"Japanese Calligraphy
書道
1/SA,2/SA,3/SA
H-259","(30)
Face to Face","UCHIYAMA, Yumi",2
"11221
Spring
2026
[change]
2026/03/30",LED353,J,,"Overseas Teaching Practicum in Japanese
海外日本語教育実習
4/M
H-106A
SUMMER RECESS",Face to Face,"HANDA, Atsuko/CHUN, Sunyoung",3
"11222
Spring
2026",LED361,J,,"The Teaching of Japanese as a Foreign Language III
外国語としての日本語教授法III
1/M,1/W,1/F
H-102",Face to Face,"HANDA, Atsuko",3
"11223
Spring
2026
[change]
2026/02/16",LAW103,J,,"Japanese Constitutional Law
日本国憲法
3/TU,2/TH,3/TH
H-306","(180)
Face to Face","MATSUDA, Hiromichi",3
"11224
Spring
2026",LAW203,J,,"Civil Law I
民法 I
5/M,6/M
H-275",Face to Face,"KAMIGOCHI, Chikako",2
"11225
Spring
2026",LAW206,J,,"Constitutional Law
憲法
1/TU,2/TU,1/TH
T-342",Face to Face,"MATSUDA, Hiromichi",3
"11226
Spring
2026",LAW217,J,,"Criminal Law I
刑法 I
5/F,6/F
H-223",Face to Face,"TOMODA, Hiroyuki",2
"11227
Spring
2026
[change]
2026/02/10",LAW225,E,,"International Environmental Law
国際環境法
1/TU,2/TU,3/TU
T-250",Face to Face,"AYCOCK, Brian",3
"11228
Spring
2026",LAW226,E,,"International Refugee Law
国際難民法
*5/W,*5/F
T-113",Face to Face,"HASHIMOTO, Naoko",3
"11229
Spring
2026",LAW228,J,,"Legal Philosophy
法哲学
5/TU,6/TU,7/TU
H-173",Face to Face,"MIURA, Motoki",3
"11230
Spring
2026",LAW306,J,,"International Human Rights Law
国際人権法
1/M,1/W,1/F
H-176",Face to Face,"ARAKAKI, Osamu",3
"11231
Spring
2026",LAW384,E,,"Advanced Studies in Legal Science IV
法学特別研究 IV
2/M,2/W,2/F
H-353",Face to Face,"HASHIMOTO, Naoko",3
"11232
Spring
2026",LNG102,E,,"Introduction to Linguistics II
言語学入門 II
3/TU,2/TH,3/TH
H-153","(180)
Face to Face","LEE, Seunghun",3
"11233
Spring
2026",LNG222,J,,"Syntax
統語論
*4/M,*4/TH
H-351",Face to Face,"ONO, Hajime",3
"11234
Spring
2026",LNG223,J,,"Experimental Linguistics
実験言語学
1/TU,2/TU
H-274",Face to Face,"ONO, Hajime",2
"11235
Spring
2026",LNG391,E,,"Topics in Linguistics II
言語学特別研究 II
*5/W,*5/F
H-104B",Face to Face,"LEE, Seunghun",3
"11236
Spring
2026",LNG392,J,,"Advanced Studies in Linguistics I
言語学上級セミナー I
5/M,6/M
H-354",Face to Face,"KUBOZONO, Haruo",2
"11237
Spring
2026",LIT102,J,,"Greek Language I
ギリシア語 I
2/M,2/W,2/F
H-305","(180)
Face to Face","SANO, Yoshinori",3
"11238
Spring
2026",LIT104,E,,"History of American Literature I
アメリカ文学史 I
3/TU,2/TH,3/TH
H-152","(180)
Face to Face","RAVENSCROFT, Claire",3
"11239
Spring
2026",LIT115,J,,"Latin Language I
ラテン語 I
5/TU,6/TU
H-223","(180)
Face to Face","TOMOI, Taro",2
"11240
Spring
2026
[change]
2026/02/02",LIT214,J,,"Classical Literature IV
西洋古典文学 IV
5/TH,6/TH
H-152",Face to Face,"TAKI, Akitsugu",2
"11241
Spring
2026",LIT216,J,,"Readings in Greek II
ギリシア語講読 II
4/M,4/TH
H-355",Face to Face,"SANO, Yoshinori",2
"11242
Spring
2026",LIT223,E,,"Contemporary English Literature II
現代英文学 II
*5/W,*5/F
H-104A",Face to Face,"SIMONS, Christopher E. J.",3
"11243
Spring
2026",LIT225,J,,"Renaissance English Literature
ルネサンス英文学
5/F,6/F
H-124",Face to Face,"MATSUDA, Takami",2
"11244
Spring
2026",LIT241,J,,"French Poetry I
フランス詩Ｉ
5/TU,6/TU,7/TU
H-373",Face to Face,"HAMANAGA, Kazuki",3
"11245
Spring
2026",LIT261,J,,"Classical Japanese Literature I
古代日本文学 I
1/TU,2/TU,1/TH
H-223",Face to Face,"SONOYAMA, Senri",3
"11246
Spring
2026",LIT263,J,,"Medieval Japanese Literature
中世日本文学
5/F,6/F,7/F
H-102",Face to Face,"WATANABE, Mariko",3
"11247
Spring
2026",LIT265,J,,"Modern Japanese Literature I
近・現代日本文学 I
2/M,2/W,2/F
H-102",Face to Face,"YASUHARA, Makoto",3
"11248
Spring
2026
[change]
2026/02/24",LIT272,J,,"World Literature II
世界の文学 II
5/M,6/M,7/M
H-306",Face to Face,"MYOJO, Kiyoko",3
"11249
Spring
2026",LIT374,E,,"Advanced Studies in Queer Theory
クイア理論における先進的研究
1/TU,2/TU,1/TH
T-343",Face to Face,"AMMOUR-MAYEUR, Olivier",3
"11250
Spring
2026",MTH102,J,,"Introduction to Mathematics
数学入門
2/TH,3/TH<6/M,7/M or 6/W,7/W>
H-303","(180)
Face to Face","MATSUMURA, Tomoo",3
"11251
Spring
2026
[change]
2026/02/16",MTH211,J,A,"Calculus II
微分積分学Ⅱ
5/M,(6/M,7/M)
H-301",Face to Face,"YAMAZAKI, Mitsuru",2
"11252
Spring
2026
[change]
2026/02/16",MTH211,E,B,"Calculus II
微分積分学Ⅱ
5/W,(5/F,6/F)
H-259",Face to Face,"HITZER, Eckhard",2
"11253
Spring
2026",MTH232,J,,"Basic Concepts in Mathematics I (Sets and Algebraic Structures)
数学通論 I（集合と代数系）
5/W,(6/W,7/W)
H-301",Face to Face,"SHIMIZU, Yuji",2
"11254
Spring
2026",MTH233,E,,"Linear Algebra II
線形代数学 II
5/TH,(6/TH,7/TH)
H-301",Face to Face,"TSUCHIYA, Akiyoshi",2
"11255
Spring
2026",MTH311,J,,"Analysis I
解析学 I
5/TU,(6/TU,7/TU)
H-301",Face to Face,"NAKAISHI, Kentaro",2
"11256
Spring
2026
[change]
2026/02/20",MTH331,E,,"Algebra I
代数学 I
5/M,(6/M,7/M)
H-302",Face to Face,"OKAMURA, Fumiya/MATSUMURA, Tomoo",2
"11257
Spring
2026",MTH351,E,,"Geometry I
幾何学 I
5/W,(6/W,7/W)
H-302",Face to Face,"MATSUMURA, Tomoo/OKAMOTO, Yukihiro",2
"11258
Spring
2026",MTH382,J,A,"Advanced Seminar in Mathematics I
数学特別演習 I
1/SA,2/SA
T-112",Face to Face,"YAMAZAKI, Mitsuru",2
"11259
Spring
2026",MTH382,E,B,"Advanced Seminar in Mathematics I
数学特別演習 I
6/SA,7/SA
H-107",Face to Face,"MATSUMURA, Tomoo",2
"11260
Spring
2026",MTH382,E,C,"Advanced Seminar in Mathematics I
数学特別演習 I
6/SA,7/SA
H-108",Face to Face,"DOU, Xiaoling",2
"11261
Spring
2026
[change]
2026/02/16",MTH385,E,A,"Senior Seminar in Mathematics I
数学四年次セミナー I
2/SA,3/SA
T-113",Face to Face,"MATSUMURA, Tomoo",2
"11262
Spring
2026
[change]
2026/02/16",MTH385,E,B,"Senior Seminar in Mathematics I
数学四年次セミナー I
2/SA,3/SA
T-249",Face to Face,"DOU, Xiaoling",2
"11263
Spring
2026",MCC105,J,,"Theories of Human Communication
ヒューマン・コミュニケーション原論
3/M,3/W,3/F
T-229","(180)
Face to Face","AONUMA, Satoru",3
"11264
Spring
2026",MCC108,E,,"Introduction to Translation
翻訳入門
*4/W,*4/F
T-171","(180)
Face to Face","GARZA, James Michael",3
"11265
Spring
2026
[change]
2026/03/02",MCC235,E,,"Media Interpreting
メディア通訳
*4/M,*4/TH
I-103","(44)
Face to Face","TAMURA, Tomoko",3
"11266
Spring
2026",MCC236,E,,"Translation at Work
創造する翻訳
1/SA,2/SA,3/SA
H-157",Face to Face,"HE, Beibei",3
"11267
Spring
2026",MCC238,E,,"Translation in Society
社会と翻訳
2/M,2/W,2/F
T-229",Face to Face,"GARZA, James Michael",3
"11268
Spring
2026",MCC253,J,,"Cultural Studies II
カルチュラル・スタディーズII
5/TU,6/TU,7/TU
H-323",Face to Face,"TAKAHARA, Taichi",3
"11269
Spring
2026",MCC256,J,,"Introduction to Media Studies
メディア研究入門
*5/W,*5/F
T-171",Face to Face,"FUJITANI, Takeshi",3
